Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp	Regulation
ADORA3	ENSG00000121933.17	2.2	9.015	-1.646	5.21E-08	DOWN
ADPRH	ENSG00000144843.11	1.81	5.54	-1.219	3.10E-12	DOWN
ADPRHL1	ENSG00000153531.12	0.76	2.96	-1.17	3.84E-06	DOWN
ADRBK2	ENSG00000100077.14	0.72	2.45	-1.004	1.50E-14	DOWN
AEBP1	ENSG00000106624.8	7.92	62.68	-2.836	6.56E-21	DOWN
AFF1	ENSG00000172493.20	6.02	14.735	-1.164	2.28E-11	DOWN
AFG3L1P	ENSG00000223959.8	6.29	16.545	-1.267	7.24E-24	DOWN
AGAP4	ENSG00000188234.13	4.83	11.995	-1.156	5.28E-17	DOWN
AGAP5	ENSG00000172650.12	1.75	6.33	-1.414	3.27E-25	DOWN
AGAP9	ENSG00000204172.11	3.12	9.71	-1.378	9.17E-13	DOWN
AGBL2	ENSG00000165923.15	0.58	3.195	-1.409	4.25E-16	DOWN
AGO4	ENSG00000134698.10	1.3	5.73	-1.549	1.30E-28	DOWN
AGTR1	ENSG00000144891.17	10.04	29.975	-1.488	2.75E-06	DOWN
AHI1	ENSG00000135541.20	5.27	17.44	-1.556	1.38E-22	DOWN
AHNAK	ENSG00000124942.13	8.3	25.015	-1.484	6.68E-08	DOWN
AHSA2	ENSG00000173209.22	13.92	91.724	-2.636	4.07E-32	DOWN
AKAP12	ENSG00000131016.16	0.98	6.635	-1.947	1.74E-18	DOWN
AKAP17A	ENSG00000197976.10	16.16	34.795	-1.061	3.64E-15	DOWN
AKAP7	ENSG00000118507.15	13.62	36.805	-1.371	5.13E-08	DOWN
AKR1B1	ENSG00000085662.13	876.432	2900.527	-1.725	1.43E-11	DOWN
AKR1B10	ENSG00000198074.9	0.67	4.079	-1.605	2.41E-05	DOWN
AKR7A3	ENSG00000162482.4	0.64	2.885	-1.244	6.51E-25	DOWN
AKT3	ENSG00000117020.16	3.83	9.23	-1.083	8.62E-07	DOWN
AL132709.8	ENSG00000232018.4	0.4	1.935	-1.068	8.23E-18	DOWN
AL162151.3	ENSG00000234648.1	50.86	278.348	-2.429	1.03E-03	DOWN
AL442127.1	ENSG00000278371.2	0	17.48	-4.208	9.09E-12	DOWN
AL603831.1	ENSG00000264248.1	0	3.525	-2.178	2.98E-07	DOWN
ALAD	ENSG00000148218.15	41.501	169.741	-2.006	6.65E-13	DOWN
ALAS1	ENSG00000023330.14	112.391	464.214	-2.037	6.30E-18	DOWN
ALCAM	ENSG00000170017.12	2.58	6.34	-1.036	6.24E-03	DOWN
ALDH1A1	ENSG00000165092.12	11.1	99.249	-3.051	9.87E-08	DOWN
ALDH1A3	ENSG00000184254.16	0.61	8.46	-2.555	1.30E-16	DOWN
ALDH1L1	ENSG00000144908.13	7.09	30.474	-1.96	6.76E-07	DOWN
ALDH3A2	ENSG00000072210.18	69.502	177.361	-1.339	1.08E-17	DOWN
ALDH3B1	ENSG00000006534.15	7.16	22.275	-1.512	1.28E-09	DOWN
ALOX15B	ENSG00000179593.15	0.28	1.675	-1.063	7.48E-05	DOWN
ALOX5	ENSG00000012779.10	1.18	12.699	-2.652	1.65E-23	DOWN
ALOX5AP	ENSG00000132965.9	4.05	21.953	-2.184	3.36E-10	DOWN
ALPK3	ENSG00000136383.6	0.47	6.66	-2.381	5.59E-28	DOWN
ALPL	ENSG00000162551.13	20.82	63.421	-1.562	3.93E-10	DOWN
ALS2CL	ENSG00000178038.16	0.76	7.65	-2.297	1.29E-27	DOWN
AMDHD1	ENSG00000139344.7	1.74	8.328	-1.767	2.13E-17	DOWN
AMICA1	ENSG00000160593.17	0.71	2.435	-1.006	2.28E-03	DOWN
AMIGO1	ENSG00000181754.6	3.91	9.13	-1.045	6.68E-08	DOWN
AMOTL2	ENSG00000114019.14	3.5	9.23	-1.185	4.49E-06	DOWN
AMPD3	ENSG00000133805.15	4.05	18.6	-1.956	6.76E-14	DOWN
AMT	ENSG00000145020.14	1.97	26.874	-3.23	3.75E-35	DOWN
AMY2A	ENSG00000243480.7	0	1.06	-1.043	4.94E-12	DOWN
AMY2B	ENSG00000240038.6	5.64	19.045	-1.594	6.33E-16	DOWN
ANAPC4	ENSG00000053900.10	7.65	19.31	-1.231	1.50E-15	DOWN
ANGEL1	ENSG00000013523.9	7.22	16.69	-1.106	4.30E-14	DOWN
ANGPTL1	ENSG00000116194.12	1.12	26.15	-3.679	1.87E-17	DOWN
ANGPTL4	ENSG00000167772.11	5.38	13.13	-1.147	3.01E-04	DOWN
ANGPTL7	ENSG00000171819.4	0	1.4	-1.263	1.51E-14	DOWN
ANK2	ENSG00000145362.16	3.13	10.235	-1.444	3.95E-08	DOWN
ANKFY1	ENSG00000185722.16	5.77	17.755	-1.47	5.24E-19	DOWN
ANKRD10	ENSG00000088448.14	25.189	54.664	-1.088	1.07E-15	DOWN
ANKRD10-IT1	ENSG00000229152.2	1.27	5.86	-1.596	6.44E-29	DOWN
ANKRD23	ENSG00000163126.14	0.85	2.705	-1.002	1.76E-22	DOWN
ANKRD53	ENSG00000144031.11	0.24	1.89	-1.221	1.80E-21	DOWN
ANKS1A	ENSG00000064999.13	3.43	15.555	-1.902	3.07E-29	DOWN
ANKZF1	ENSG00000163516.13	14.15	33.13	-1.172	5.86E-15	DOWN
ANO7P1	ENSG00000237276.8	0.96	4.175	-1.401	1.40E-21	DOWN
ANPEP	ENSG00000166825.13	0.76	8.07	-2.366	6.94E-13	DOWN
ANTXR1	ENSG00000169604.19	16.979	38.634	-1.14	2.14E-13	DOWN
ANTXR2	ENSG00000163297.16	12.52	27.327	-1.067	1.83E-04	DOWN
ANXA3	ENSG00000138772.12	0.43	2.145	-1.137	4.95E-04	DOWN
AOC3	ENSG00000131471.6	9.11	38.141	-1.953	1.05E-04	DOWN
AOX1	ENSG00000138356.13	38.94	294.545	-2.887	3.11E-20	DOWN
AOX3P	ENSG00000244301.5	0.11	1.985	-1.427	7.78E-26	DOWN
AP000347.2	ENSG00000272578.5	0.72	3.34	-1.335	3.68E-26	DOWN
AP000347.4	ENSG00000234353.2	0.94	5.465	-1.736	2.69E-20	DOWN
AP000473.5	ENSG00000228798.1	0.16	1.78	-1.261	2.47E-21	DOWN
AP000580.1	ENSG00000219529.2	1.82	5.755	-1.26	1.18E-15	DOWN
AP000783.1	ENSG00000254667.2	10.32	49.494	-2.157	5.82E-19	DOWN
AP000892.6	ENSG00000280143.1	1.2	8.404	-2.096	1.05E-26	DOWN
AP001189.4	ENSG00000236304.1	0.06	1.355	-1.152	1.97E-33	DOWN
AP006621.5	ENSG00000255284.1	2.49	6.1	-1.025	1.39E-11	DOWN
AP1G2	ENSG00000213983.11	26.88	61.935	-1.175	3.88E-09	DOWN
AP3B2	ENSG00000103723.12	0.82	2.995	-1.134	3.91E-10	DOWN
APBB1IP	ENSG00000077420.15	0.78	3.96	-1.478	2.69E-10	DOWN
APBB3	ENSG00000113108.17	23.079	61.984	-1.387	7.52E-17	DOWN
APOBEC3G	ENSG00000239713.7	2.26	9.605	-1.702	1.27E-09	DOWN
APOC1	ENSG00000130208.9	215.567	1640.818	-2.922	5.43E-13	DOWN
APOC1P1	ENSG00000214855.9	1.13	10.485	-2.431	6.82E-12	DOWN
APOD	ENSG00000189058.8	5.19	29.64	-2.307	2.46E-09	DOWN
APOE	ENSG00000130203.9	891.319	2834.148	-1.668	1.44E-05	DOWN
APOL3	ENSG00000128284.19	4.51	16.185	-1.641	2.42E-16	DOWN
AQP11	ENSG00000178301.3	4.42	10.475	-1.082	3.37E-11	DOWN
ARAP1	ENSG00000186635.14	31.76	69.54	-1.106	2.17E-11	DOWN
ARFGAP3	ENSG00000242247.10	24.401	65.974	-1.399	1.27E-15	DOWN
ARFGEF2	ENSG00000124198.8	7.29	16.975	-1.117	3.17E-10	DOWN
ARGLU1	ENSG00000134884.13	20.11	96.251	-2.204	4.64E-33	DOWN
ARHGAP21	ENSG00000107863.16	10.51	29.471	-1.405	1.00E-15	DOWN
ARHGAP27	ENSG00000159314.11	2.68	8.64	-1.389	4.26E-21	DOWN
ARHGAP30	ENSG00000186517.13	0.78	3.82	-1.437	1.89E-12	DOWN
ARHGAP32	ENSG00000134909.18	1.89	5.815	-1.238	2.45E-18	DOWN
ARHGAP4	ENSG00000089820.15	8.31	24.84	-1.473	6.87E-09	DOWN
ARHGAP9	ENSG00000123329.17	2.05	8.755	-1.677	1.11E-14	DOWN
ARHGEF10	ENSG00000104728.15	4.07	10.045	-1.123	2.87E-15	DOWN
ARHGEF10L	ENSG00000074964.16	4.98	13	-1.227	2.81E-14	DOWN
ARHGEF17	ENSG00000110237.3	3.05	11.94	-1.676	6.75E-19	DOWN
ARHGEF25	ENSG00000240771.6	3	9.765	-1.428	1.71E-10	DOWN
ARHGEF28	ENSG00000214944.9	5.9	23.67	-1.838	2.58E-16	DOWN
ARHGEF5	ENSG00000050327.14	0.19	2.06	-1.362	2.69E-11	DOWN
ARHGEF7	ENSG00000102606.17	9.05	23.855	-1.306	1.43E-23	DOWN
ARL17A	ENSG00000185829.15	2.16	6.055	-1.159	1.28E-21	DOWN
ARMC9	ENSG00000135931.17	8.14	19.835	-1.189	2.99E-08	DOWN
ARMCX4	ENSG00000196440.11	3.47	13.605	-1.708	1.36E-22	DOWN
ARNT	ENSG00000143437.20	6.22	18.99	-1.469	7.07E-18	DOWN
ARNTL	ENSG00000133794.17	6.13	13.46	-1.02	1.54E-15	DOWN
ARPC4-TTLL3	ENSG00000250151.9	2.72	8.809	-1.399	2.36E-12	DOWN
ARRB1	ENSG00000137486.16	1.99	5.495	-1.119	5.68E-09	DOWN
ARRB2	ENSG00000141480.17	11.42	47.339	-1.961	5.25E-24	DOWN
AS3MT	ENSG00000214435.7	73.439	256.817	-1.792	5.83E-11	DOWN
ASH1L	ENSG00000116539.10	3.98	9.68	-1.101	3.66E-17	DOWN
ASMTL-AS1	ENSG00000236017.7	4.28	28.924	-2.503	3.39E-31	DOWN
ASTN1	ENSG00000152092.15	4.43	11.855	-1.243	7.52E-05	DOWN
ATAD3B	ENSG00000160072.19	6.39	14.59	-1.077	2.69E-16	DOWN
ATAT1	ENSG00000137343.17	3.41	7.97	-1.024	2.43E-17	DOWN
ATF7IP2	ENSG00000166669.13	9.27	43.385	-2.112	3.90E-20	DOWN
ATG16L2	ENSG00000168010.10	5.46	28.045	-2.169	2.02E-32	DOWN
ATG2B	ENSG00000066739.11	2.56	7.345	-1.229	3.27E-21	DOWN
ATHL1	ENSG00000142102.15	1.75	8.955	-1.856	1.80E-18	DOWN
ATM	ENSG00000149311.17	5.16	13.73	-1.258	1.89E-14	DOWN
ATP10A	ENSG00000206190.11	0.33	6	-2.396	9.28E-10	DOWN
ATP11A	ENSG00000068650.18	3.17	13.26	-1.774	2.34E-25	DOWN
ATP1A1-AS1	ENSG00000203865.9	1.07	3.63	-1.161	1.61E-18	DOWN
ATP1B2	ENSG00000129244.8	2.38	6.665	-1.181	1.75E-03	DOWN
ATP8A1	ENSG00000124406.16	3.8	9.96	-1.191	6.86E-09	DOWN
ATP8B1	ENSG00000081923.10	1.55	4.6	-1.135	2.88E-13	DOWN
ATP8B2	ENSG00000143515.16	3.15	9.215	-1.3	6.38E-14	DOWN
ATRNL1	ENSG00000107518.16	1.75	7.945	-1.702	1.52E-14	DOWN
ATRX	ENSG00000085224.20	5.61	12.35	-1.014	5.28E-09	DOWN
AVIL	ENSG00000135407.10	2.72	8.71	-1.384	4.01E-08	DOWN
AVPR1A	ENSG00000166148.3	0.41	18.61	-3.798	3.73E-23	DOWN
AXIN2	ENSG00000168646.12	2.91	9.365	-1.407	3.31E-06	DOWN
AXL	ENSG00000167601.11	2.33	11.21	-1.875	1.90E-22	DOWN
AZI2	ENSG00000163512.13	13.12	31.52	-1.204	2.48E-13	DOWN
AZIN2	ENSG00000142920.16	2.46	6.525	-1.121	1.67E-06	DOWN
B3GALNT2	ENSG00000162885.12	2.18	6.259	-1.191	7.52E-12	DOWN
B3GALT4	ENSG00000235863.3	3.17	7.95	-1.102	4.10E-08	DOWN
B3GNT7	ENSG00000156966.6	2.27	9.085	-1.625	1.34E-09	DOWN
B4GALNT3	ENSG00000139044.10	3.8	10.02	-1.199	1.27E-09	DOWN
B4GALT6	ENSG00000118276.11	2	9.865	-1.857	2.08E-18	DOWN
BAHCC1	ENSG00000266074.8	1.12	9.495	-2.308	1.98E-27	DOWN
BANK1	ENSG00000153064.11	0.94	3.435	-1.193	1.56E-04	DOWN
BATF2	ENSG00000168062.9	0.87	3.405	-1.236	2.46E-07	DOWN
BAZ2A	ENSG00000076108.11	16.16	36.354	-1.122	2.84E-09	DOWN
BAZ2B	ENSG00000123636.17	5.41	17.3	-1.513	6.18E-21	DOWN
BBS1	ENSG00000174483.19	10.23	21.529	-1.004	2.47E-06	DOWN
BBS4	ENSG00000140463.13	7.89	17.84	-1.084	9.38E-14	DOWN
BCAT1	ENSG00000060982.14	0.77	2.655	-1.046	7.89E-06	DOWN
BCL2L10	ENSG00000137875.4	0.4	2.395	-1.278	2.56E-09	DOWN
BCL2L2-PABPN1	ENSG00000258643.5	1.27	4.525	-1.283	7.81E-04	DOWN
BCL6	ENSG00000113916.17	7.75	51.294	-2.579	8.86E-25	DOWN
BCL9L	ENSG00000186174.12	4.76	30.314	-2.443	4.53E-24	DOWN
BCO2	ENSG00000197580.11	13.3	36.41	-1.387	5.49E-05	DOWN
BEGAIN	ENSG00000183092.15	0.19	1.58	-1.116	4.33E-10	DOWN
BEST1	ENSG00000167995.15	0.79	3.075	-1.187	6.74E-13	DOWN
BGN	ENSG00000182492.15	69.458	161.321	-1.204	1.25E-07	DOWN
BHLHE40-AS1	ENSG00000235831.6	0.22	2.025	-1.31	2.38E-18	DOWN
BHMT2	ENSG00000132840.9	1.25	19.49	-3.187	3.92E-24	DOWN
BICC1	ENSG00000122870.11	0.98	2.97	-1.004	2.22E-08	DOWN
BIN2	ENSG00000110934.10	0.84	2.71	-1.012	3.71E-07	DOWN
BIVM	ENSG00000134897.13	3.83	9.65	-1.141	1.24E-16	DOWN
BMP1	ENSG00000168487.17	8.86	38.35	-1.997	3.94E-16	DOWN
BMS1P20	ENSG00000236850.4	0.83	2.865	-1.079	2.95E-23	DOWN
BMS1P4	ENSG00000271816.1	0.38	1.835	-1.039	9.00E-25	DOWN
BOC	ENSG00000144857.14	1.4	4.58	-1.217	3.71E-13	DOWN
BOK	ENSG00000176720.4	1.71	6.7	-1.507	6.20E-09	DOWN
BRE	ENSG00000158019.20	40.391	299.32	-2.859	1.53E-15	DOWN
BRINP2	ENSG00000198797.6	0.96	9.455	-2.415	9.09E-11	DOWN
BSPRY	ENSG00000119411.10	0.27	3.11	-1.694	5.75E-16	DOWN
BTAF1	ENSG00000095564.13	3.42	11.48	-1.497	8.25E-20	DOWN
BTBD19	ENSG00000222009.8	4.24	17.555	-1.824	1.30E-16	DOWN
BTK	ENSG00000010671.15	0.75	3.215	-1.268	1.30E-11	DOWN
BTN2A3P	ENSG00000124549.14	1.25	4.14	-1.192	2.42E-25	DOWN
BTN3A1	ENSG00000026950.16	8.65	19.8	-1.108	8.51E-13	DOWN
BTN3A3	ENSG00000111801.15	8.67	19.505	-1.084	2.60E-09	DOWN
BTNL9	ENSG00000165810.16	3.92	13.965	-1.605	8.25E-13	DOWN
BX322557.10	ENSG00000215447.7	0.78	3.395	-1.304	1.50E-19	DOWN
